python2,1024,0.27,20,1522415242004
python2,1024,0.33,20,1522415275623
python2,1024,0.48,20,1522415308464
python2,1024,1.72,20,1522415341823
python2,1024,0.72,20,1522415374323
python2,1024,1.76,20,1522415406843
python2,1024,1.18,20,1522415440903
python2,1024,11.53,20,1522415473475
python2,1024,2.28,20,1522415506147
python2,1024,0.45,20,1522415539362
python2,1024,16.17,20,1522415573323
python2,1024,7.11,20,1522415605983
python2,1024,0.4,20,1522415638463
python2,1024,0.41,20,1522415672069
python2,1024,15.75,20,1522415705423
python2,1024,2.34,20,1522415738374
python2,1024,0.65,20,1522415771441
python2,1024,2.88,20,1522415804295
python2,1024,0.42,20,1522415837869
python2,1024,0.41,20,1522415870504
python2,1024,6.97,20,1522415903223
python2,1024,1.93,20,1522415936233
python2,1024,0.46,20,1522415969283
python2,1024,12.26,20,1522416004383
python2,1024,12.07,20,1522416038235
python2,1024,0.35,20,1522416070827
python2,1024,0.33,20,1522416103341
python2,1024,0.44,20,1522416136311
python2,1024,1.05,20,1522416168846
python2,1024,13.56,20,1522416203051
python2,1024,0.33,20,1522416236263
python2,1024,0.36,20,1522416268864
python2,1024,6.98,20,1522416301463
python2,1024,0.5,20,1522416334205
python2,1024,3.82,20,1522416367223
python2,1024,0.47,20,1522416400065
python2,1024,0.39,20,1522416434831
python2,1024,0.35,20,1522416468163
python2,1024,0.44,20,1522416501491
python2,1024,1.79,20,1522416534026
python2,1024,0.72,20,1522416566833
python2,1024,4.25,20,1522416599904
python2,1024,0.63,20,1522416632888
python2,1024,1.63,20,1522416665816
python2,1024,0.29,20,1522416699194
python2,1024,0.33,20,1522416732278
python2,1024,9.32,20,1522416764644
python2,1024,0.33,20,1522416797183
python2,1024,0.41,20,1522416829819
python2,1024,0.31,20,1522416862843
python2,1024,0.3,20,1522416895673
python2,1024,0.39,20,1522416928215
python2,1024,8.47,20,1522416960983
python2,1024,8.7,20,1522416994070
python2,1024,5.33,20,1522417027847
python2,1024,15.22,20,1522417061263
python2,1024,16.44,20,1522417094203
python2,1024,7.17,20,1522417129475
python2,1024,3.5,20,1522417163503
python2,1024,0.32,20,1522417196072
python2,1024,0.27,20,1522417228781
python2,1024,7.33,20,1522417262914
python2,1024,1.51,20,1522417296230
python2,1024,12.44,20,1522417329784
python2,1024,6.54,20,1522417363518
python2,1024,12.76,20,1522417396064
python2,1024,0.55,20,1522417429325
python2,1024,0.46,20,1522417463483
python2,1024,0.92,20,1522417496109
python2,1024,0.31,20,1522417528696
python2,1024,0.25,20,1522417561503
python2,1024,0.4,20,1522417594535
python2,1024,0.5,20,1522417628779
python2,1024,6.34,20,1522417662387
python2,1024,0.32,20,1522417695786
python2,1024,0.31,20,1522417728783
python2,1024,4.12,20,1522417762224
python2,1024,18.05,20,1522417795834
python2,1024,0.31,20,1522417828673
python2,1024,13.54,20,1522417861205
python2,1024,0.81,20,1522417894418
python2,1024,2.25,20,1522417927683
python2,1024,5.71,20,1522417960407
python2,1024,0.39,20,1522417993792
